name	count	percent_male	percent_female
luna	17745	0.1521555367709214	99.84784446322908
lucy	189626	0.32748673705082637	99.67251326294917
luchiano	84	100	0
luar	10	100	0
loucas	18	100	0
lot	62	100	0
loreto	464	96.55172413793103	3.4482758620689653
loran	4493	81.9719563765858	18.0280436234142
lonzell	466	100	0
londell	640	100	0
logic	12	100	0
locklin	11	100	0
lochlin	58	100	0
llewelyn	82	100	0
little	1786	87.79395296752519	12.206047032474803
liridon	44	100	0
lionardo	123	100	0
lindan	31	100	0
librado	1249	100	0
liamjames	22	100	0
li	364	31.043956043956044	68.95604395604396
levell	748	100	0
leovardo	252	100	0
leovani	5	100	0
leoh	5	100	0
lenyx	74	21.62162162162162	78.37837837837837
lennie	7353	38.6780905752754	61.32190942472461
lennex	52	59.61538461538461	40.38461538461539
lendell	684	100	0
lelynd	70	100	0
lelyn	22	100	0
lelend	99	100	0
lejuan	202	100	0
lejon	235	100	0
lejend	23	100	0
leigham	17	100	0
leiby	44	100	0
legen	13	100	0
leeson	21	100	0
lazavion	22	100	0
layn	74	100	0
laydon	77	100	0
lawrance	2625	100	0
lawerence	4818	100	0
lawaia	10	100	0
lavontay	103	100	0
laveon	5	100	0
lavance	247	100	0
laughlin	5	100	0
latre	33	100	0
lathon	88	100	0
latavius	156	100	0
lason	106	100	0
laroy	1300	100	0
larken	62	8.064516129032258	91.93548387096774
larion	10	100	0
lannon	10	100	0
lanier	1095	90.68493150684932	9.315068493150685
landyon	5	100	0
landy	825	71.63636363636363	28.363636363636363
landree	486	2.263374485596708	97.7366255144033
landers	77	100	0
lamond	712	100	0
lamon	1424	100	0
lamberto	308	100	0
lakayden	10	100	0
laityn	117	4.273504273504273	95.72649572649573
laiton	18	100	0
laithen	38	100	0
laike	10	100	0
laden	81	100	0
ladarrian	106	100	0
ladarion	325	100	0
lacy	25850	24.990328820116055	75.00967117988394
labron	400	100	0
labrandon	216	100	0
kyzin	5	100	0
kyvin	21	100	0
kyven	26	100	0
kyrion	36	100	0
kyric	11	100	0
kyrein	5	100	0
kymiere	5	100	0
kymier	22	100	0
kylie	101510	0.4255738350901389	99.57442616490985
kylenn	30	43.333333333333336	56.666666666666664
kyeden	5	100	0
kydon	39	100	0
kwadwo	208	100	0
kveon	84	100	0
kuno	10	100	0
ku	33	81.81818181818183	18.181818181818183
krystof	15	100	0
kronos	5	100	0
kristyan	20	75	25
krishnav	5	100	0
kouta	27	100	0
kouper	71	100	0
kostas	330	100	0
kosi	12	100	0
kordale	38	100	0
kolsten	16	100	0
kollier	10	100	0
kollen	100	100	0
koleman	164	100	0
kolbin	16	100	0
koki	113	100	0
kobyn	70	100	0
kobee	236	88.5593220338983	11.440677966101696
ko	59	83.05084745762711	16.94915254237288
knute	676	100	0
knoxley	11	100	0
knoll	5	100	0
knixon	22	100	0
kmarion	79	100	0
klinton	568	100	0
klint	741	100	0
kiyoshi	1143	99.12510936132983	0.8748906386701663
kirtan	134	100	0
kiro	17	100	0
kirian	15	66.66666666666666	33.33333333333333
kire	90	94.44444444444444	5.555555555555555
kipling	293	100	0
kinzler	5	100	0
kinzer	15	100	0
kinsey	7016	4.204675028506271	95.79532497149373
kino	190	100	0
kingmichael	12	100	0
kingisaiah	5	100	0
kingg	5	100	0
kingcharles	11	100	0
kilyan	5	100	0
killion	16	100	0
kilik	39	100	0
kilean	5	100	0
kile	1044	100	0
kiet	321	100	0
kieon	84	100	0
kiedis	5	100	0
kidd	17	100	0
ki	463	78.83369330453563	21.166306695464364
khyron	110	100	0
khymari	5	100	0
khylil	22	100	0
khiree	105	100	0
khine	5	100	0
khelan	25	100	0
khayr	5	100	0
khasir	56	100	0
khance	5	100	0
khamren	50	100	0
kham	43	86.04651162790698	13.953488372093023
khalyn	48	10.416666666666668	89.58333333333334
khalon	159	100	0
khalfani	167	100	0
khaleil	20	100	0
khalee	97	80.41237113402062	19.587628865979383
khairo	5	100	0
khade	18	100	0
keyston	66	100	0
keyson	40	100	0
keyner	15	100	0
keymon	151	100	0
keyion	109	100	0
kevian	52	100	0
keveon	196	100	0
kestin	49	100	0
kerrigan	2004	3.592814371257485	96.40718562874252
kerby	979	87.53830439223698	12.461695607763023
keontre	111	100	0
keoki	459	100	0
kenzel	125	100	0
kenyen	221	100	0
kentyn	11	100	0
kentrez	28	100	0
kennith	10452	99.9521622655951	0.04783773440489859
kennett	196	100	0
kenn	745	100	0
kender	11	100	0
kenard	758	100	0
kena	1736	0.9216589861751152	99.07834101382488
kelvion	40	100	0
kellum	42	100	0
kel	189	100	0
kekeli	22	22.727272727272727	77.27272727272727
keivan	55	100	0
keiston	100	100	0
kein	84	100	0
keimoni	47	63.829787234042556	36.17021276595745
keimani	144	23.61111111111111	76.38888888888889
keilani	1915	0.26109660574412535	99.73890339425587
keil	317	100	0
keigo	71	100	0
keenon	543	100	0
keeler	38	100	0
keeland	54	100	0
keaundre	117	100	0
keatan	22	100	0
keani	427	7.02576112412178	92.97423887587823
keair	35	100	0
keadon	11	100	0
kaysn	5	100	0
kaynon	19	100	0
kayman	151	86.09271523178808	13.90728476821192
kaushik	229	100	0
katriel	351	8.831908831908832	91.16809116809117
kastyn	10	100	0
kashyap	49	100	0
kashmeir	5	100	0
kasher	5	100	0
kashdyn	11	100	0
kashaun	322	100	0
kaseton	13	100	0
karym	21	100	0
karsan	16	100	0
karmon	190	2.631578947368421	97.36842105263158
karmani	15	33.33333333333333	66.66666666666666
karloz	21	100	0
karen	987233	0.280075726804108	99.71992427319589
karbon	5	100	0
kaptain	17	100	0
kanishk	109	100	0
kamronbek	5	100	0
kamorion	25	100	0
kamaron	194	94.84536082474226	5.154639175257731
kamarius	83	100	0
kamaren	27	100	0
kamaal	265	100	0
kalyn	7501	4.946007199040128	95.05399280095988
kaloyan	24	100	0
kalleb	25	100	0
kalino	5	100	0
kalif	385	100	0
kalahikiola	5	100	0
kajetan	11	100	0
kaiyen	31	100	0
kaishawn	52	100	0
kaire	63	90.47619047619048	9.523809523809524
kaion	22	100	0
kainin	37	100	0
kaiming	5	100	0
kaimen	106	100	0
kailyn	12175	0.6324435318275154	99.36755646817248
kailum	5	100	0
kailin	1206	11.194029850746269	88.80597014925374
kaien	64	100	0
kaicyn	5	100	0
kaiba	13	100	0
kahron	152	100	0
kahne	180	97.22222222222221	2.7777777777777777
kahli	421	21.140142517814727	78.85985748218528
kahlen	334	20.059880239520957	79.94011976047905
kaelob	175	100	0
kaedence	442	2.941176470588235	97.05882352941177
kaede	215	16.27906976744186	83.72093023255815
kaecyn	10	100	0
kado	39	100	0
kadmiel	38	100	0
kacy	5741	16.077338442780004	83.92266155722
kacin	49	100	0
kaceon	15	100	0
kabriel	10	100	0
kaaden	21	100	0
jyquan	90	100	0
jye	50	100	0
juwelz	10	100	0
juwel	5	100	0
justine	39968	5.9947958366693355	94.00520416333067
junzhe	5	100	0
junming	5	100	0
junayd	20	100	0
juluis	893	100	0
jream	89	16.853932584269664	83.14606741573034
jozyah	28	100	0
joziel	18	100	0
jozeph	90	100	0
jowel	70	100	0
jovel	33	100	0
jourdin	227	35.68281938325991	64.31718061674009
jotaro	5	100	0
josyiah	34	100	0
joshawn	121	100	0
joseth	143	100	0
josaih	35	100	0
joryel	5	100	0
jonothan	882	100	0
jonathyn	268	100	0
joji	21	100	0
johnjoseph	197	100	0
johngabriel	53	100	0
johndaniel	89	100	0
johnathyn	83	100	0
johaun	13	100	0
johansel	24	100	0
joevani	28	100	0
joedy	195	92.3076923076923	7.6923076923076925
joeanthony	268	100	0
joanel	5	100	0
joandy	77	100	0
jlynn	713	8.976157082748948	91.02384291725105
jionny	28	100	0
jimal	15	100	0
jiles	588	100	0
jihan	592	8.614864864864865	91.38513513513513
jiair	28	100	0
jhovani	132	100	0
jhoel	60	100	0
jheremy	57	100	0
jhamere	10	100	0
jhaiden	33	100	0
jhael	21	100	0
jexton	5	100	0
jeton	35	100	0
jessiel	11	100	0
jesco	5	100	0
jeryn	187	67.37967914438502	32.62032085561498
jersiah	25	100	0
jerrin	489	96.7280163599182	3.2719836400818
jerquan	40	100	0
jeromiah	56	100	0
jerold	7396	100	0
jerison	27	100	0
